"ROI_ID","CHAPTER_PRIMARY_CODE","ACCOUNT_CLASS_NAME"
5492947,"NRRO","Individual"
5492970,"NRRO","Individual"
5562996,"NRRO","Individual"
5496500,"NRRO","Individual"
5542766,"NRRO","Individual"
5542824,"NRRO","Individual"
5676937,"NRRO","Individual"
5540588,"NRRO","Individual"
5544853,"NRRO","Individual"
5544861,"NRRO","Individual"
100316666,"NRRO","Individual"
5618004,"NRRO","Individual"
5619010,"NRRO","Individual"
5615083,"NRRO","Individual"
5542873,"NRRO","Individual"
5659297,"NRRO","Individual"
5583919,"NRRO","Individual"
5540307,"NRRO","Individual"
5615463,"NRRO","Individual"
5545827,"NRRO","Individual"
5677711,"NRRO","Individual"
5635727,"NRRO","Individual"
5635768,"NRRO","Individual"
5540513,"NRRO","Individual"
5545132,"NRRO","Individual"
5620190,"NRRO","Individual"
5540109,"NRRO","Individual"
5564422,"NRRO","Individual"
5497466,"NRRO","Individual"
5656236,"NRRO","Individual"
5499710,"NRRO","Individual"
5678909,"NRRO","Individual"
5545173,"NRRO","Individual"
5497698,"NRRO","Individual"
5497755,"NRRO","Individual"
5617659,"NRRO","Individual"
5570361,"NRRO","Individual"
5616693,"NRRO","Individual"
5566237,"NRRO","Individual"
5494976,"NRRO","Individual"
5545488,"NRRO","Individual"
5614565,"NRRO","Individual"
5539481,"NRRO","Individual"
100316660,"NRRO","Individual"
5610910,"NRRO","Individual"
5527197,"NRRO","Individual"
5527288,"NRRO","Individual"
5568829,"NRRO","Individual"
5614938,"NRRO","Individual"
5557806,"NRRO","Individual"
5610951,"NRRO","Individual"
5500616,"NRRO","Individual"
5630736,"NRRO","Individual"
6781132,"NRRO","Individual"
6781314,"NRRO","Individual"
6619399,"NRRO","Individual"
6766109,"NRRO","Individual"
6705685,"NRRO","Individual"
6829535,"NRRO","Individual"
6733406,"NRRO","Individual"
6724512,"NRRO","Individual"
6738322,"NRRO","Individual"
6642615,"NRRO","Individual"
6716641,"NRRO","Individual"
6589014,"NRRO","Individual"
6589022,"NRRO","Individual"
6627004,"NRRO","Individual"
6730121,"NRRO","Individual"
6730139,"NRRO","Individual"
6723985,"NRRO","Individual"
6733794,"NRRO","Individual"
6757439,"NRRO","Individual"
6767594,"NRRO","Individual"
6651616,"NRRO","Individual"
6730006,"NRRO","Individual"
6598478,"NRRO","Individual"
6615025,"NRRO","Individual"
6615207,"NRRO","Individual"
100317099,"NRRO","Individual"
6683015,"NRRO","Individual"
6647853,"NRRO","Individual"
6781728,"NRRO","Individual"
6625859,"NRRO","Individual"
6788285,"NRRO","Individual"
6647366,"NRRO","Individual"
6743819,"NRRO","Individual"
6702062,"NRRO","Individual"
6632657,"NRRO","Individual"
6801062,"NRRO","Individual"
6762066,"NRRO","Individual"
6664924,"NRRO","Individual"
6822746,"NRRO","Individual"
6742597,"NRRO","Individual"
6742647,"NRRO","Individual"
6830913,"NRRO","Individual"
6831143,"NRRO","Individual"
6746663,"NRRO","Individual"
6700967,"NRRO","Individual"
6751564,"NRRO","Individual"
6706139,"NRRO","Individual"
6585970,"NRRO","Individual"
6916704,"NRRO","Individual"
6739296,"NRRO","Individual"
6639348,"NRRO","Individual"
6639371,"NRRO","Individual"
6922413,"NRRO","Individual"
6697346,"NRRO","Individual"
6702336,"NRRO","Individual"
6763676,"NRRO","Individual"
6876304,"NRRO","Individual"
6876312,"NRRO","Individual"
